Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
Super Mario 64 DS,DS,Nintendo,Nintendo EAD,11.06,2004,,,,,,8.6,
God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,11,2018,,,,,,9.7,10
StarCraft,PC,Blizzard Entertainment,Blizzard Entertainment,11,1998,,,,,,8.7,
FIFA 17,PS4,Electronic Arts,EA Canada,10.94,2016,,,,,,8.9,4.8
Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,10.85,1998,,,,,,9.5,
The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,10.8,2015,,,,,,9.2,9.2
Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,10.61,2009,,,,,,9.5,
Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10.57,2008,,,,,,10,9
Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,10.55,1993,,,,,,9.2,9.5
Call of Duty: Ghosts,X360,Activision,Infinity Ward,10.41,2013,,,,,,6.9,
Just Dance 3,Wii,Ubisoft,Ubisoft Paris,10.14,2011,,,,,,7.5,
Call of Duty: Ghosts,PS3,Activision,Infinity Ward,10.13,2013,,,,,,7.5,
Splatoon 2,NS,Nintendo,Nintendo EPD,10.13,2017,,,,,,8.2,8.5
Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",10.1,2018,,,,,,7.3,7.5
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,10,2017,,,,,,9.1,8
RollerCoaster Tycoon 3,PC,Atari,Frontier Developments,10,2004,,,,,,8.3,
Halo: Reach,X360,Microsoft Game Studios,Bungie,9.97,2010,,,,,,9.3,
Portal,PC,Valve Corporation,Valve Software,9.97,2008,,,,,,9,
Halo 4,X360,Microsoft Studios,343 Industries,9.96,2012,,,,,,9.8,
Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.9,1997,,,,,,9.6,9.5
Mario Kart 64,N64,Nintendo,Nintendo EAD,9.87,1997,,,,,,8.5,
Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,9.59,2014,,,,,,8.4,
Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.41,2007,,,,,,9.6,9
Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.37,1999,,,,,,9.2,
Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",9.34,2010,,,,,,7,
Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,9.32,2018,,,,,,8.3,4
Mario Party DS,DS,Nintendo,Hudson Soft,9.31,2007,,,,,,7.1,
Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.3,1994,,,,,,9,8.8
Half-Life,PC,Sierra Entertainment,Valve Software,9.3,1998,,,,,,9.5,
Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,2011,,,,,,9.3,6.3
FIFA 19,PS4,Electronic Arts,EA Sports,9.15,2018,,,,,,8.3,1.7
Rust,PC,Facepunch Studios,Facepunch Studios,9.02,2018,,,,,,6.1,6.2
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,8.88,2011,,,,,,9.3,
Mario Party 8,Wii,Nintendo,Hudson Soft,8.85,2007,,,,,,6.5,
Pokemon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.77,2017,,,,,,8.1,
Super Mario Kart,SNES,Nintendo,Nintendo EAD,8.76,1992,,,,,,10,
Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,8.72,2014,,,,,,9,9
Final Fantasy VIII,PS,Square EA,SquareSoft,8.6,1999,,,,,,9.4,
Final Fantasy X,PS2,Square,SquareSoft,8.6,2001,,,,,,9,10
Pokemon Black 2 and White 2,DS,Nintendo,Game Freak,8.52,2012,,,,,,8,8.3
Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,8.48,2016,,,,,,7.7,3.8
Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.48,2015,,,,,,8.6,6.6
Mario Kart 8,WiiU,Nintendo,Nintendo,8.45,2014,,,,,,8.8,8.9
Tekken 3,PS,Namco,Namco,8.3,1998,,,,,,9.6,
FIFA 16,PS4,EA Sports,EA Canada,8.22,2015,,,,,,8.5,4.4
The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,8.15,2013,,,,,,9.5,
GoldenEye 007,N64,Nintendo,Rare Ltd.,8.09,1997,,,,,,9.8,
Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,8.03,2015,,,,,,7.1,
FIFA 13,PS3,EA Sports,EA Canada,8.01,2012,,,,,,,
NBA 2K20,PS4,2K Sports,Visual Concepts,8,2019,,,,,,7.8,1.2
Halo 2,XB,Microsoft Game Studios,Bungie Studios,8,2004,,,,,,9.6,
The Sims 3,PC,Electronic Arts,EA Redwood Shores,7.96,2009,,,,,,8.5,
Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,7.72,2005,,,,,,8.8,
Pac-Man,2600,Atari,Atari,7.7,1982,,,,,,9,7.4
God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.6,2010,,,,,,9.2,9.4
Pokemon Platinum Version,DS,Nintendo,Game Freak,7.6,2009,,,,,,8.3,8.9
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,7.6,1998,,,,,,9.9,10
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Naughty Dog,7.58,1997,,,,,,8.6,
Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,7.53,2014,,,,,,8.5,5.7
Call of Duty: World at War,X360,Activision,Treyarch,7.5,2008,,,,,,8.5,7.8
Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,7.46,1988,,,,,,8.5,8.1
Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,7.41,2010,,,,,,9.7,9.8
Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,7.41,2001,,,,,,9.2,
Call of Duty: Black Ops 3,XOne,Activision,Treyarch,7.37,2015,,,,,,,
Battlefield 3,X360,Electronic Arts,Dice,7.35,2011,,,,,,8.5,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,7.29,2016,,,,,,,
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,7.26,2006,,,,,,9.5,9.6
Battlefield 1,PS4,Electronic Arts,EA DICE,7.26,2016,,,,,,9.1,7.9
Battlefield 3,PS3,Electronic Arts,Dice,7.21,2011,,,,,,8.5,
Need for Speed Underground,PS2,Electronic Arts,EA Black Box,7.2,2003,,,,,,8.6,
The Binding of Isaac,PC,Edmund McMillen,Edmund McMillen,7.17,2011,,,,,,8.3,8.4
FIFA 20,PS4,Electronic Arts,EA Sports,7.15,2019,,,,,,7.9,1.1
Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,7.13,1998,,,,,,9.3,
Pokemon Emerald Version,GBA,Nintendo,Game Freak,7.06,2005,,,,,,7.7,
Guild Wars 2,PC,NCSoft,ArenaNet,7,2012,,,,,,9,8.1
Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,6.9,2004,,,,,,8.3,
Just Dance 4,Wii,Ubisoft,Ubisoft,6.89,2012,,,,,,,
Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,6.88,2003,,,,,,8.5,
Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,6.83,2002,,,,,,9,
Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,6.82,1996,,,,,,7.8,
Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,6.74,2009,,,,,,9.5,9.6
Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,6.72,2007,,,,,,9.5,9.6
FIFA Soccer 12,PS3,EA Sports,EA Canada,6.65,2011,,,,,,9.2,
FIFA 14,PS3,EA Sports,EA Canada,6.61,2013,,,,,,9,
Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,6.6,2015,,,,,,9,5.5
New Super Mario Bros. U Deluxe,NS,Nintendo,Nintendo EPD,6.6,2019,,,,,,8,6.6
Tomodachi Life,3DS,Nintendo,Nintendo,6.59,2014,,,,,,7.8,7.6
Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,6.57,2011,,,,,,9.5,
Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,6.53,2010,,,,,,8.6,
The Legend of Zelda,NES,Nintendo,Nintendo EAD,6.51,1987,,,,,,8.4,8.8
Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,6.5,2012,,,,,,8.8,
Guild Wars,PC,NCSoft,ArenaNet,6.5,2005,,,,,,8.7,
Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,6.5,2010,,,,,,9.5,10
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,6.49,2011,,,,,,9,
Final Fantasy XII,PS2,Square Enix,Square Enix,6.4,2006,,,,,,9.4,9.5
Pokemon Crystal Version,GBC,Nintendo,Game Freak,6.39,2001,,,,,,8.7,
Halo 3: ODST,X360,Microsoft Game Studios,Bungie,6.35,2009,,,,,,8.7,
Minecraft,PS4,Sony Computer Entertainment,Mojang,6.33,2014,,,,,,9.4,
Luigi's Mansion 3,NS,Nintendo,"Next Level Games, Inc.",6.33,2019,,,,,,8.6,8.5
FIFA 15,PS4,EA Sports,EA Canada,6.32,2014,,,,,,8.1,5.7
Kingdom Hearts,PS2,Square EA,SquareSoft,6.3,2002,,,,,,8.5,
Myst,PC,Broderbund,Cyan Worlds,6.3,1995,,,,,,8.9,8
Street Fighter II: The World Warrior,SNES,Capcom,Capcom,6.3,1992,,,,,,,
Driver,PS,GT Interactive,Reflections Interactive,6.27,1999,,,,,,8.5,
Call of Duty: WWII,XOne,Activision,Sledgehammer Games,6.23,2017,,,,,,8,4
Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,6.16,2013,,,,,,8.6,8.5
Big Brain Academy,DS,Nintendo,Nintendo EAD,6.15,2006,,,,,,7.7,
Minecraft,PS3,Sony Computer Entertainment America,Mojang,6.05,2014,,,,,,9.5,
Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,6.05,2001,,,,,,9.5,7
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,6.02,2011,,,,,,9.3,9
Cities: Skylines,PC,Paradox Interactive,Colossal Order,6,2015,,,,,,8.5,8.9
Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,6,1998,,,,,,9.3,
Sonic the Hedgehog 2,GEN,Sega,Sonic Team,6,1992,,,,,,,
Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,6,2008,,,,,,9.3,9.8
Euro Truck Simulator 2,PC,SCS Software,SCS Software,5.98,2013,,,,,,8.5,8.7
Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,5.91,2001,,,,,,9.3,
Super Mario Sunshine,GC,Nintendo,Nintendo EAD,5.91,2002,,,,,,9.2,
Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,5.84,2013,,,,,,9.5,8.9
Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,5.82,2013,,,,,,6.8,7.9
New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,5.8,2012,,,,,,8.4,8
Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,5.79,2007,,,,,,6.9,
Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,5.77,2018,,,,,,9.7,7.4
Destiny,PS4,Activision,Bungie,5.76,2014,,,,,,7.6,6.1
Tekken 2,PS,Namco,Namco,5.74,1996,,,,,,9.1,
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,5.7,2015,,,,,,8.6,8.5
Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,5.69,2002,,,,,,9.4,
